mart_table|column_name|column_data_type|column_description|dim_measure|measure_origin_column|calculation_formula
mart_neighbourhood_geometry|neighbourhood_id|int|City-assigned neighbourhood identifier (PK)|dimension|stg_toronto__neighbourhoods.neighbourhood_id|direct
mart_neighbourhood_geometry|neighbourhood_name|string|Neighbourhood display name|dimension|stg_toronto__neighbourhoods.neighbourhood_name|direct
mart_neighbourhood_geometry|geometry|geometry|PostGIS polygon boundary in WGS84 (EPSG:4326)|dimension|stg_toronto__neighbourhoods.geometry|direct
mart_neighbourhood_safety|neighbourhood_id|int|Neighbourhood identifier (FK)|dimension|int_neighbourhood__crime_summary.neighbourhood_id|direct
mart_neighbourhood_safety|year|int|Year of crime data (2016-2025)|dimension|int_neighbourhood__crime_summary.year|direct
mart_neighbourhood_safety|total_incidents|int|Total reported crime incidents in the year|measure|int_neighbourhood__crime_summary.total_incidents|direct
mart_neighbourhood_safety|crime_rate_per_100k|float|Crime incidents per 100k population|measure|int_neighbourhood__crime_summary.crime_rate_per_100k|direct
mart_neighbourhood_safety|crime_yoy_change_pct|float|Year-over-year % change in crime rate|measure|int_neighbourhood__crime_summary.yoy_change_pct|direct
mart_neighbourhood_safety|assault_count|int|Number of assault incidents|measure|int_neighbourhood__crime_summary.assault_count|direct
mart_neighbourhood_safety|auto_theft_count|int|Number of auto theft incidents|measure|int_neighbourhood__crime_summary.auto_theft_count|direct
mart_neighbourhood_safety|break_enter_count|int|Number of break-and-enter incidents|measure|int_neighbourhood__crime_summary.break_enter_count|direct
mart_neighbourhood_safety|robbery_count|int|Number of robbery incidents|measure|int_neighbourhood__crime_summary.robbery_count|direct
mart_neighbourhood_safety|theft_over_count|int|Number of theft over $5000 incidents|measure|int_neighbourhood__crime_summary.theft_over_count|direct
mart_neighbourhood_safety|homicide_count|int|Number of homicide incidents|measure|int_neighbourhood__crime_summary.homicide_count|direct
mart_neighbourhood_safety|safety_score|float|Safety percentile score (0-100; higher = safer) inverted from crime rate ranking|measure|int_neighbourhood__crime_summary.crime_rate_per_100k|ROUND((1 - PERCENT_RANK() OVER (PARTITION BY year ORDER BY crime_rate_per_100k)) * 100, 1)
mart_neighbourhood_livability|neighbourhood_id|int|Neighbourhood identifier (FK)|dimension|stg_toronto__neighbourhoods.neighbourhood_id|direct
mart_neighbourhood_livability|year|int|Analysis year (2014-2025)|dimension|int_year_spine.year|direct
mart_neighbourhood_livability|population|int|Neighbourhood population — most recent census year <= analysis year|measure|stg_toronto__census.population|COALESCE(latest census_year <= year)
